id	wave	depends	owner	completion_predicate	focused_command	real_command	required
docs-reset	0	none	parent	tracked compact contract and machine plans pass docs rules	cargo run --locked -p lkjagent-xtask -- check-docs	none	yes
acceptance-checker	0	docs-reset	parent	checker derives status and rejects all negative fixtures	cargo test --locked -p lkjagent-xtask acceptance_negative	cargo run --locked -p lkjagent-xtask -- acceptance verify --source SOURCE --evidence evaluation/evidence/SOURCE --allow-incomplete	yes
baseline-tracked	0	docs-reset,acceptance-checker	parent	synthetic current edit failure summary and manifest are tracked	cargo test --locked -p lkjagent-xtask acceptance_negative	cargo run --locked -p lkjagent-xtask -- evidence check --campaign baseline	yes
interfaces	0	docs-reset,acceptance-checker	parent	minimal direct runtime interfaces compile and match contract tables	cargo test --locked -p lkjagent-core contract_tables	none	yes
effects-safe-read	1	interfaces	effects-agent	root capability list search and revision read reject escapes	cargo test --locked -p lkjagent-effects workspace_safety	none	yes
effects-exact-edit	1	effects-safe-read	effects-agent	exact edit/create preserve mode survive phase faults and leave no residue	cargo test --locked -p lkjagent-effects workspace_safety	none	yes
protocol-compact	1	interfaces	protocol-agent	strict XML call/final parser has no echoed IDs or JSON action object	cargo test --locked -p lkjagent-core contract_tables	none	yes
tool-registry	1	protocol-compact	protocol-agent	render parser admission dispatch derive from exact persisted descriptor	cargo test --locked -p lkjagent-core contract_tables	none	yes
store-native	1	interfaces	store-agent	fresh schema creates only active constrained tables	cargo test --locked -p lkjagent-store durable_boundaries	none	yes
store-transactions	1	store-native	store-agent	intake decision compiler attachment and effect boundaries are atomic	cargo test --locked -p lkjagent-store durable_boundaries	none	yes
llm-wiring	1	interfaces	llm-agent	sampling output reasoning usage and fault fields reach transport	cargo test --locked -p lkjagent-llm wire_contract	cargo run --locked -p lkjagent-xtask -- campaign probe-endpoint	yes
evaluation-runner	1	acceptance-checker,baseline-tracked	evaluation-agent	public runner captures source DB workspace logs and derived result	cargo test --locked -p lkjagent-xtask acceptance_negative	cargo run --locked -p lkjagent-xtask -- evidence check --campaign baseline	yes
reducer-selector	2	interfaces,store-native	core-agent	direct state transitions and deterministic candidates match contract	cargo test --locked -p lkjagent-core contract_tables	none	yes
automatic-checks	2	reducer-selector,store-transactions,effects-exact-edit	parent	committed edits schedule fresh collateral and byte checks without model	cargo test --locked -p lkjagent-app product_flows	none	yes
context-compiler	2	reducer-selector,tool-registry	core-agent	decision-first prompt has exact state view escaped sources zero duplicates	cargo test --locked -p lkjagent-core contract_tables	none	yes
workspace-root	2	docs-reset,effects-safe-read	parent	Compose and CLI use separate host-visible root with no eager scaffold	cargo test --locked -p lkjagent-app product_flows	docker compose run --rm agent doctor --json	yes
conversation-canonical	2	store-transactions	parent	owner/final messages have exact identity sequence and close transaction	cargo test --locked -p lkjagent-store durable_boundaries	none	yes
app-public-loop	2	automatic-checks,context-compiler,conversation-canonical,effects-exact-edit,llm-wiring,workspace-root	parent	public send run status use decision exchange admission journal observation checks	cargo test --locked -p lkjagent-app product_flows	none	yes
file-edit-real	2	app-public-loop,evaluation-runner	parent	public real model edits exact seed closes truthfully and completes second turn	cargo test --locked -p lkjagent-app product_flows	cargo run --locked -p lkjagent-xtask -- campaign run --scenario edit --repeats 3	yes
