cell	stage	envelope	tool_view	example	edit_form	context	observation	prefix	recovery	verification	scenarios	min_repeats	max_repeats	escalation
A	early	generic-call	state-narrow	likely-tool	exact-text	required-only	compact	stable-first	fault-plus-example	automatic	S1,S2,S6	3	5	semantic-fingerprint-disagrees
B	early	tool-named	state-narrow	likely-tool	exact-text	required-only	compact	stable-first	fault-plus-example	automatic	S1,S2,S6	3	5	semantic-fingerprint-disagrees
C	early	generic-call	broad-workspace	likely-tool	exact-text	required-only	compact	stable-first	fault-plus-example	automatic	S1,S2,S6	3	5	semantic-fingerprint-disagrees
D	early	generic-call	state-narrow	none	exact-text	required-only	compact	stable-first	fault-only	automatic	S1,S2,S6	3	5	semantic-fingerprint-disagrees
E	edit	generic-call	state-narrow	likely-tool	line-range	required-only	compact	stable-first	fault-plus-example	automatic	S2,S4	3	5	semantic-fingerprint-disagrees
F	edit	generic-call	state-narrow	likely-tool	unified-diff	required-only	compact	stable-first	fault-plus-example	automatic	S2,S4	3	5	semantic-fingerprint-disagrees
G	context	generic-call	state-narrow	likely-tool	exact-text	required-only	compact	stable-first	fault-plus-example	automatic	S1,S5,S7	3	5	semantic-fingerprint-disagrees
H	context	generic-call	state-narrow	likely-tool	exact-text	recent-plus-required	receipt-plus-excerpt	stable-first	fault-plus-example	automatic	S1,S5,S7	3	5	semantic-fingerprint-disagrees
I	context	generic-call	state-narrow	likely-tool	exact-text	required-only	compact	state-first	fault-plus-example	automatic	S1,S5,S7	3	5	semantic-fingerprint-disagrees
J	context	tool-named	state-narrow	likely-tool	exact-text	recent-plus-required	compact	stable-first	fault-only	automatic	S1,S5,S7	3	5	semantic-fingerprint-disagrees
K	integrated	generic-call	state-narrow	likely-tool	exact-text	required-only	compact	stable-first	fault-plus-example	automatic	S1,S2,S3,S4,S5,S6,S7,S8	3	5	semantic-fingerprint-disagrees
L	integrated	tool-named	state-narrow	likely-tool	exact-text	recent-plus-required	receipt-plus-excerpt	stable-first	fault-plus-example	automatic	S1,S2,S3,S4,S5,S6,S7,S8	3	5	semantic-fingerprint-disagrees
M	integrated	generic-call	broad-workspace	likely-tool	unified-diff	recent-plus-required	receipt-plus-excerpt	state-first	fault-only	automatic	S1,S2,S3,S4,S5,S6,S7,S8	3	5	semantic-fingerprint-disagrees
