id	category	predicate	evidence_class	required
D01	docs	current-state source and evidence boundary match final commit	source-and-doc-scan	yes
D02	docs	active docs contain no retired authority contradictory roots or old controller	doc-gate	yes
D03	docs	all documented required commands execute as described	doc-command-check	yes
D04	docs	English ASCII kebab H1 Purpose README topology links and line rules pass	doc-gate	yes
D05	history	tracked contract plans and checker precede product source changes	git-history-check	yes
D06	history	material commits are small coherent and have honest tested trailers	git-history-and-command-check	yes
S01	source	all authored source and docs files are at most 200 lines	repository-gate	yes
S02	source	legacy task step template plan bridge routing production matches are zero	retired-authority-scan	yes
S03	source	one reducer registry parser file effect and viewport implementation exist	architecture-scan	yes
S04	source	accepted config keys all have production consumers	config-consumer-report	yes
S05	source	panic unsafe placeholder mock product fake gate and dormant profiles are absent	style-and-source-scan	yes
S06	source	rejected candidate code is gone and outcome interactions remain documented	profile-source-and-ledger-check	yes
A01	checker	fake editable pass and missing evidence fixtures fail	acceptance-negative-suite	yes
A02	checker	stale source binary profile and checker hashes fail	acceptance-negative-suite	yes
A03	checker	mock semantic endpoint placeholder and unchanged output fixtures fail	acceptance-negative-suite	yes
A04	checker	short quiet and missing-turn campaign fixtures fail	acceptance-negative-suite	yes
A05	checker	untracked attachment and reachable-history secret fixtures fail without printing bytes	acceptance-negative-suite	yes
F01	file	public real model reads and exactly edits existing UTF-8 file	workspace-bytes-and-db	yes
F02	file	public real model creates one absent file without overwrite or scaffold	workspace-bytes-and-db	yes
F03	file	traversal symlink and special-file attempts mutate no bytes	safety-suite-and-manifest	yes
F04	file	stale zero-match and multiple-match edits mutate no unsafe bytes	safety-suite-and-manifest	yes
F05	file	receipt binds prior new hashes preserved mode and actual diff	database-and-workspace	yes
F06	file	every effect crash phase settles restores or blocks without residue	crash-matrix	yes
F07	file	initial edit changes only requested workspace path	workspace-manifest	yes
F08	file	public daemon completes a second owner turn after checked edit	conversation-and-event-trace	yes
R01	runtime	owner intake atomically creates turn message event and initial state	database-transaction-check	yes
R02	runtime	every provider call and effect has prior persisted decision	database-relational-check	yes
R03	runtime	decision persists exact tool grammar context recovery check and exit specs	decision-payload-check	yes
R04	runtime	selection precedes compiler attachment and provider intent without operation change	decision-sequence-check	yes
R05	runtime	prompt grammar tool view admission and dispatch bind same stored spec	database-and-prompt-check	yes
R06	runtime	matter and obligation statuses are reducer projections not selectors	architecture-and-event-check	yes
R07	runtime	state changes rebuild prompt and state-specific tools	rendered-profile-check	yes
R08	runtime	orient modify review respond recovery wait and idle paths execute	database-event-trace	yes
R09	runtime	work exceeds four turns and resumes after restart	sustained-run-trace	yes
R10	runtime	blocked matter does not starve unrelated runnable matter	scheduling-scenario	yes
R11	runtime	crash recovery never reinterprets stale pending decision spec	crash-scenario	yes
P01	protocol	JSON is absent as action encoding but escaped JSON read edit create round-trips	prompt-parser-workspace-roundtrip	yes
P02	protocol	model does not echo decision or context fingerprints	prompt-and-response-check	yes
P03	protocol	hidden tools never render or execute	tool-view-relational-check	yes
P04	protocol	premature final and readiness never become owner final	conversation-and-event-check	yes
P05	protocol	required checks run automatically without model proposal	decision-and-check-trace	yes
P06	protocol	final claims have receipt admission and factual fallback	final-message-check	yes
P07	protocol	native provider tool-call JSON is never successful content	provider-anomaly-check	yes
C01	context	current owner objective body occurs exactly once	prompt-audit	yes
C02	context	each source revision body occurs once across prompt regions	prompt-audit	yes
C03	context	repeated reads are not material contradictions	context-scenario	yes
C04	context	current owner and file facts supersede stale memory and summary	correction-scenario	yes
C05	context	wrong-project evidence is absent	multi-project-prompt-audit	yes
C06	context	failed output secrets and raw harness JSON objects are absent	contamination-audit	yes
C07	context	configured lane and total budgets reach compiler	config-and-prompt-audit	yes
X01	recovery	parse admission file effect endpoint check and stasis faults are typed	event-trace	yes
